TOT_OA_CD,ADM_CD,Admin,Abs_mean,dRL_mean,dNB_mean,SAVI,DEM,Elderly_Ratio,Old_housing_Ratio,cx,cy,Z_Abs,Z_Elderly,Z_dNB,Z_Old,Z_dRL,Track1_Score,Track2_Score
24040720010001,24040720.0,24040720,43.4327,0.9909,0.00875,0.10684,56.521,12.9,1.1,946892.42,1688149.8,1.18773,-0.60716,0.49667,-0.01537,0.10942,0.58057,0.59072
24040560020004,24040560.0,신안동,43.9715,1.7305,0.00753,0.16862,35.161,30.6,2.9,945522.42,1686089.8,1.38239,0.43032,0.42877,1.0239,0.53178,1.81271,1.98445
24040570020005,24040570.0,임동,39.8603,1.5172,0.01238,0.30622,47.126,11.0,1.7999999999999994,944554.42,1687713.8,-0.10295,-0.71853,0.69871,0.38879,0.40998,-0.82148,1.49748
24040640020203,24040640.0,문흥동,39.7337,2.21512,0.0077,0.2299,77.5,11.8,0.0,948942.42,1687449.8,-0.14869,-0.67164,0.43823,-0.65049,0.80854,-0.82033,0.59628
24040630010102,24040630.0,24040630,39.9259,-1.15799,0.0031,0.18975,59.883,9.6,0.0,948042.42,1685549.8,-0.07925,-0.80059,0.18221,-0.65049,-1.11774,-0.87984,-1.58602
24040610020001,24040610.0,24040610,34.1032,-0.73193,0.02337,0.44806,68.358,59.59999999999995,2.0,942165.15,1687552.07,-2.18293,2.13015,1.31038,0.50426,-0.87443,-0.05278,0.94021
24040680020003,24040680.0,두암2동,42.7965,0.99238,0.01244,0.1576,69.924,44.79999999999999,2.1,948542.42,1686449.8,0.95787,1.26265,0.70205,0.562,0.11027,2.22052,1.37432
24040560010003,24040560.0,신안동,42.3295,2.14585,0.00586,0.17647,36.978,13.6,2.1,945709.09,1686383.13,0.78915,-0.56613,0.33582,0.562,0.76898,0.22302,1.6668
24040670010011,24040670.0,24040670,43.3484,0.77084,0.00068,0.16353,57.066,28.8,1.3,948062.42,1685989.8,1.15727,0.32482,0.04752,0.1001,-0.01625,1.48209,0.13137
24040720010006,24040720.0,24040720,42.9999,1.21941,0.00842,0.11047,53.267,14.7,1.1,946622.42,1688089.8,1.03136,-0.50165,0.47831,-0.01537,0.23992,0.52971,0.70286
24040600020102,24040600.0,24040600,39.4345,1.19536,0.02331,0.23105,51.69,54.8,0.6,942842.42,1687449.8,-0.25678,1.8488,1.30705,-0.30406,0.22618,1.59202,1.22917
24040710011001,24040710.0,24040710,39.7756,2.82139,0.00824,0.24222,59.533,48.9,0.4,944642.42,1688499.8,-0.13355,1.50297,0.46829,-0.41954,1.15476,1.36942,1.20351
24040810040001,24040810.0,건국동,31.7066,-1.28506,-0.00146,0.51188,86.376,54.19999999999989,1.7000000000000235,946647.44,1693505.3,-3.04879,1.81363,-0.07159,0.33105,-1.19031,-1.23516,-0.93085
24040650010003,24040650.0,24040650,42.723,0.3317,0.00454,0.14168,62.837,14.1,1.2,947142.42,1688183.13,0.93132,-0.53682,0.26236,0.04236,-0.26703,0.3945,0.03769
24040800010010,24040800.0,양산동,42.5917,0.71859,-0.02454,0.19737,38.307,8.4,4.1,943275.75,1690583.13,0.88388,-0.87093,-1.35616,1.71676,-0.04609,0.01295,0.31451
24040640010004,24040640.0,문흥동,43.4104,2.43132,0.00583,0.15303,62.55,23.8,2.4,948292.42,1687399.8,1.17967,0.03174,0.33416,0.73522,0.932,1.21141,2.00138
24040710011701,24040710.0,24040710,36.8659,0.19617,0.00869,0.28818,65.942,14.7,0.0,944842.42,1689049.8,-1.18479,-0.50165,0.49334,-0.65049,-0.34442,-1.68644,-0.50157
24040620010013,24040620.0,24040620,42.0593,-0.69038,-0.00923,0.12261,53.245,69.4,1.7,947392.42,1686699.8,0.69153,2.70458,-0.50404,0.33105,-0.85071,3.39611,-1.0237
24040720010016,24040720.0,24040720,43.5388,4.11665,0.00992,0.15078,45.755,28.9,1.6,946142.42,1688199.8,1.22606,0.33068,0.56179,0.27331,1.89444,1.55674,2.72954
24040720010007,24040720.0,24040720,40.6141,3.47802,0.00497,0.34482,49.241,20.4,1.9,946197.97,1688538.69,0.16939,-0.16755,0.28629,0.44653,1.52974,0.00184,2.26256
24040560040001,24040560.0,신안동,43.4347,2.221,0.00264,0.12055,37.488,27.5,3.2,945842.42,1686399.8,1.18845,0.24862,0.15661,1.19712,0.81189,1.43707,2.16562
