id,left,top,right,bottom,row_index,col_index,LST20_mean,LST25_mean,dLST_mean,dNDBI_mean,SAVI20_mea,SAVI25_mea,dSAVI,DEM_mean
1422,940292.4194,1692599.8,940392.4194,1692499.8,35,9,7.644176722,3.346209327,-4.297967474,-0.00632092,0.18248745,0.172702336,-0.009785114,26.54166667
1423,940292.4194,1692499.8,940392.4194,1692399.8,36,9,6.406617403,2.211817575,-4.194799876,-0.006023185,0.250817797,0.281722071,0.030904273,27.925
1472,940292.4194,1687599.8,940392.4194,1687499.8,85,9,-0.745266291,-4.151290393,-3.406023979,-0.006493964,0.220609124,0.225420778,0.004811655,17.2
1473,940292.4194,1687499.8,940392.4194,1687399.8,86,9,-2.628093074,-5.822920958,-3.194827875,-0.00127304,0.079950367,0.253490068,0.173539702,16.83333333
1474,940292.4194,1687399.8,940392.4194,1687299.8,87,9,-2.544147432,-4.433333933,-1.889186531,-0.049462952,0.442147796,0.574808032,0.132660236,18.96666667
1475,940292.4194,1687299.8,940392.4194,1687199.8,88,9,-0.448351286,0.041474772,0.489826046,-0.041344546,0.493276725,0.575461952,0.082185227,16.36666667
1476,940292.4194,1687199.8,940392.4194,1687099.8,89,9,1.363446813,2.404842327,1.041395456,-0.012763134,0.45582904,0.436207816,-0.019621224,17.768
1477,940292.4194,1687099.8,940392.4194,1686999.8,90,9,4.075495929,4.050452809,-0.025043163,-0.023506153,0.412674891,0.368759996,-0.043914895,17.03076923
1478,940292.4194,1686999.8,940392.4194,1686899.8,91,9,7.055802568,7.160191091,0.104388572,0.006101271,0.253716582,0.191408666,-0.062307916,17.88461538
1479,940292.4194,1686899.8,940392.4194,1686799.8,92,9,9.250861517,9.444157254,0.193295566,0.01620302,0.074278565,0.073585015,-0.00069355,19.09756098
1564,940392.4194,1693799.8,940492.4194,1693699.8,23,10,1.684085697,-2.15617311,-3.840258837,0.19331181,0.682972368,0.202795517,-0.48017685,32.875
1565,940392.4194,1693699.8,940492.4194,1693599.8,24,10,1.29927364,-2.44043841,-3.739712059,0.245854665,0.67504689,0.202540204,-0.472506686,30.904
1566,940392.4194,1693599.8,940492.4194,1693499.8,25,10,1.190303892,-2.550859392,-3.741163313,0.237187073,0.693016911,0.131336635,-0.561680276,31.38461538
1573,940392.4194,1692899.8,940492.4194,1692799.8,32,10,7.784656703,1.195000773,-6.58965573,0.004337242,0.295325046,0.296739887,0.001414841,29.48333333
1574,940392.4194,1692799.8,940492.4194,1692699.8,33,10,6.034959628,2.042763783,-3.992195822,0.073295985,0.409267466,0.246939981,-0.162327485,29.15833333
1575,940392.4194,1692699.8,940492.4194,1692599.8,34,10,6.014349424,1.238463718,-4.77588577,-0.004302182,0.330630428,0.376426232,0.045795804,29.35833333
1576,940392.4194,1692599.8,940492.4194,1692499.8,35,10,7.02986908,4.371713479,-2.6581556,-0.033943203,0.264323288,0.378059084,0.113735796,27.43333333
1577,940392.4194,1692499.8,940492.4194,1692399.8,36,10,6.125722041,2.040220673,-4.085501286,-0.012965314,0.396416276,0.414072308,0.017656033,26.89256198
1578,940392.4194,1692399.8,940492.4194,1692299.8,37,10,6.120944166,2.003811741,-4.117132521,0.068752048,0.339233746,0.308960245,-0.030273501,27.96153846
1579,940392.4194,1692299.8,940492.4194,1692199.8,38,10,6.370618439,1.98930788,-4.381310558,-0.005875065,0.39918983,0.377320861,-0.021868969,28.62307692
