id,left,top,right,bottom,row_index,col_index,20R_mean,25R_mean,dRL_mean,dNB_mean,Abs_mean,BASE_DATE,ADM_CD,TOT_OA_CD,SGIS_Maste,SGIS_Mas_1,SGIS_Mas_2,SGIS_Mas_3,JOIN_CD,JOIN_KEY
113,939375.915623063,1684899.90909134,939475.915623063,1684799.90909134,112,0,,,,,,,,,,,,,,
114,939375.915623063,1684799.90909134,939475.915623063,1684699.90909134,113,0,,,,,,,,,,,,,,
115,939375.915623063,1684699.90909134,939475.915623063,1684599.90909134,114,0,,,,,,,,,,,,,,
116,939375.915623063,1684599.90909134,939475.915623063,1684499.90909134,115,0,,,,,,,,,,,,,,
117,939375.915623063,1684499.90909134,939475.915623063,1684399.90909134,116,0,,,,,,,,,,,,,,
118,939375.915623063,1684399.90909134,939475.915623063,1684299.90909134,117,0,,,,,,,,,,,,,,
119,939375.915623063,1684299.90909134,939475.915623063,1684199.90909134,118,0,,,,,,,,,,,,,,
120,939375.915623063,1684199.90909134,939475.915623063,1684099.90909134,119,0,,,,,,,,,,,,,,
121,939375.915623063,1684099.90909134,939475.915623063,1683999.90909134,120,0,,,,,,,,,,,,,,
122,939375.915623063,1683999.90909134,939475.915623063,1683899.90909134,121,0,,,,,,,,,,,,,,
123,939375.915623063,1683899.90909134,939475.915623063,1683799.90909134,122,0,,,,,,,,,,,,,,
124,939375.915623063,1683799.90909134,939475.915623063,1683699.90909134,123,0,,,,,,,,,,,,,,
